B07004D_001E,B07004D_002E,B07004D_003E,B07004D_004E,B07004D_005E,B07004D_006E,name,county,county subdivision,state
25.0,25.0,0.0,0.0,0.0,0.0,"Pixley CCD, Tulare County, California",107,92480,06
0.0,0.0,0.0,0.0,0.0,0.0,"Tipton CCD, Tulare County, California",107,93360,06
595.0,573.0,0.0,15.0,0.0,7.0,"Dinuba CCD, Tulare County, California",107,90690,06
55.0,55.0,0.0,0.0,0.0,0.0,"Clarksburg CCD, Yolo County, California",113,90500,06
18369.0,9712.0,3460.0,3186.0,459.0,1552.0,"Davis CCD, Yolo County, California",113,90640,06
61.0,61.0,0.0,0.0,0.0,0.0,"Knights Landing CCD, Yolo County, California",113,91500,06
86.0,86.0,0.0,0.0,0.0,0.0,"Winters CCD, Yolo County, California",113,93770,06
405.0,89.0,0.0,316.0,0.0,0.0,"Esparto CCD, Yolo County, California",113,90910,06
168.0,88.0,5.0,71.0,4.0,0.0,"Chuckwalla Valley CCD, Riverside County, California",065,90492,06
202.0,201.0,0.0,1.0,0.0,0.0,"Yuba City Southwest CCD, Sutter County, California",101,93825,06
1621.0,1343.0,63.0,41.0,143.0,31.0,"Twentynine Palms-Yucca Valley CCD, San Bernardino County, California",071,93482,06
1120.0,825.0,226.0,13.0,46.0,10.0,"Barstow CCD, San Bernardino County, California",071,90188,06
5941.0,5095.0,196.0,423.0,125.0,102.0,"Rocklin CCD, Placer County, California",061,92645,06
52.0,36.0,0.0,4.0,12.0,0.0,"Arnold-West Point CCD, Calaveras County, California",009,90105,06
376.0,329.0,21.0,14.0,12.0,0.0,"Russian River-Sonoma Coast CCD, Sonoma County, California",097,92682,06
9022.0,7982.0,608.0,216.0,112.0,104.0,"South Santa Clara Valley CCD, Santa Clara County, California",085,93175,06
135.0,115.0,15.0,5.0,0.0,0.0,"Lexington Hills CCD, Santa Clara County, California",085,91602,06
4267.0,3508.0,290.0,282.0,0.0,187.0,"Novato CCD, Marin County, California",041,92205,06
40.0,25.0,0.0,0.0,15.0,0.0,"Bolinas CCD, Marin County, California",041,90256,06
284.0,252.0,6.0,0.0,26.0,0.0,"Blythe CCD, Riverside County, California",065,90253,06
71.0,69.0,0.0,2.0,0.0,0.0,"Northwest Trinity CCD, Trinity County, California",105,92202,06
226.0,224.0,2.0,0.0,0.0,0.0,"Fillmore CCD, Ventura County, California",111,90988,06
450.0,340.0,83.0,21.0,0.0,6.0,"Ojai-Mira Monte CCD, Ventura County, California",111,92245,06
89.0,83.0,0.0,6.0,0.0,0.0,"Triunfo Pass-Point Mugu CCD, Ventura County, California",111,93422,06
