B25003I_001E,B25003I_002E,B25003I_003E,name,county,county subdivision,state
0.0,0.0,0.0,"Coon town, Vernon County, Wisconsin",123,16875,55
0.0,0.0,0.0,"De Soto village, Vernon County, Wisconsin",123,19850,55
0.0,0.0,0.0,"Franklin town, Vernon County, Wisconsin",123,27400,55
12.0,7.0,5.0,"Hamburg town, Vernon County, Wisconsin",123,32225,55
0.0,0.0,0.0,"La Farge village, Vernon County, Wisconsin",123,40875,55
0.0,0.0,0.0,"Stark town, Vernon County, Wisconsin",123,76725,55
26.0,9.0,17.0,"Westby city, Vernon County, Wisconsin",123,85475,55
3.0,0.0,3.0,"Webster town, Vernon County, Wisconsin",123,85050,55
13.0,8.0,5.0,"Bergen town, Vernon County, Wisconsin",123,06900,55
4.0,4.0,0.0,"Chaseburg village, Vernon County, Wisconsin",123,14150,55
0.0,0.0,0.0,"Genoa village, Vernon County, Wisconsin",123,28625,55
0.0,0.0,0.0,"Coon Valley village, Vernon County, Wisconsin",123,16900,55
0.0,0.0,0.0,"Forest town, Vernon County, Wisconsin",123,26550,55
0.0,0.0,0.0,"Wheatland town, Vernon County, Wisconsin",123,86525,55
12.0,6.0,6.0,"Greenwood town, Vernon County, Wisconsin",123,31625,55
10.0,0.0,10.0,"Harmony town, Vernon County, Wisconsin",123,32725,55
0.0,0.0,0.0,"Kickapoo town, Vernon County, Wisconsin",123,39475,55
11.0,11.0,0.0,"Farmington town, Washington County, Wisconsin",131,25375,55
0.0,0.0,0.0,"Germantown town, Washington County, Wisconsin",131,28900,55
67.0,26.0,41.0,"Germantown village, Washington County, Wisconsin",131,28875,55
0.0,0.0,0.0,"Slinger village, Washington County, Wisconsin",131,74400,55
44.0,44.0,0.0,"Trenton town, Washington County, Wisconsin",131,80575,55
28.0,0.0,28.0,"Kewaskum village, Washington County, Wisconsin",131,39300,55
0.0,0.0,0.0,"Milwaukee city, Washington County, Wisconsin",131,53000,55
8.0,3.0,5.0,"Wayne town, Washington County, Wisconsin",131,84900,55
8.0,8.0,0.0,"Scott town, Burnett County, Wisconsin",013,72225,55
0.0,0.0,0.0,"Rusk town, Burnett County, Wisconsin",013,70225,55
1.0,0.0,1.0,"Swiss town, Burnett County, Wisconsin",013,78775,55
8.0,7.0,1.0,"Trade Lake town, Burnett County, Wisconsin",013,80375,55
7.0,4.0,3.0,"Dewey town, Burnett County, Wisconsin",013,19925,55
0.0,0.0,0.0,"Grantsburg village, Burnett County, Wisconsin",013,30450,55
16.0,16.0,0.0,"Jackson town, Burnett County, Wisconsin",013,37650,55
3.0,0.0,3.0,"La Follette town, Burnett County, Wisconsin",013,40975,55
3.0,3.0,0.0,"Sand Lake town, Burnett County, Wisconsin",013,71450,55
0.0,0.0,0.0,"Siren town, Burnett County, Wisconsin",013,74200,55
8.0,2.0,6.0,"Siren village, Burnett County, Wisconsin",013,74175,55
0.0,0.0,0.0,"Union town, Burnett County, Wisconsin",013,81500,55
0.0,0.0,0.0,"Anderson town, Burnett County, Wisconsin",013,01900,55
2.0,2.0,0.0,"Webb Lake town, Burnett County, Wisconsin",013,84975,55
0.0,0.0,0.0,"Meenon town, Burnett County, Wisconsin",013,50650,55
10.0,0.0,10.0,"Webster village, Burnett County, Wisconsin",013,85025,55
29.0,7.0,22.0,"Bristol town, Dane County, Wisconsin",025,09775,55
